e11,e22,e33,vel0,vel1,vel2,vel3,vel4,vel5,vel6,vel7,vel8,vel9,vel10,vel11,
-0.0527723,-0.0527723,0.106,,8.82377e-05,8.82377e-05,2.16047e-211,8.82377e-05,8.82377e-05,2.16047e-211,8.82377e-05,8.82377e-05,2.16047e-211,8.82377e-05,8.82377e-05,2.16047e-211
-0.0532723,-0.0532723,0.107,,8.8235e-05,8.8235e-05,2.16043e-211,8.8235e-05,8.8235e-05,2.16043e-211,8.8235e-05,8.8235e-05,2.16043e-211,8.8235e-05,8.8235e-05,2.16043e-211
-0.0537722,-0.0537722,0.108,,8.82326e-05,8.82326e-05,2.16039e-211,8.82326e-05,8.82326e-05,2.16039e-211,8.82326e-05,8.82326e-05,2.16039e-211,8.82326e-05,8.82326e-05,2.16039e-211
-0.0542722,-0.0542722,0.109,,8.82304e-05,8.82304e-05,2.16036e-211,8.82304e-05,8.82304e-05,2.16036e-211,8.82304e-05,8.82304e-05,2.16036e-211,8.82304e-05,8.82304e-05,2.16036e-211
-0.0547722,-0.0547722,0.11,,8.82284e-05,8.82284e-05,2.16034e-211,8.82284e-05,8.82284e-05,2.16034e-211,8.82284e-05,8.82284e-05,2.16034e-211,8.82284e-05,8.82284e-05,2.16034e-211
-0.0552722,-0.0552722,0.111,,8.82265e-05,8.82265e-05,2.16031e-211,8.82265e-05,8.82265e-05,2.16031e-211,8.82265e-05,8.82265e-05,2.16031e-211,8.82265e-05,8.82265e-05,2.16031e-211
-0.0557722,-0.0557722,0.112,,8.82248e-05,8.82248e-05,2.16029e-211,8.82248e-05,8.82248e-05,2.16029e-211,8.82248e-05,8.82248e-05,2.16029e-211,8.82248e-05,8.82248e-05,2.16029e-211
-0.0562722,-0.0562722,0.113,,8.82233e-05,8.82233e-05,2.16026e-211,8.82233e-05,8.82233e-05,2.16026e-211,8.82233e-05,8.82233e-05,2.16026e-211,8.82233e-05,8.82233e-05,2.16026e-211
-0.0567722,-0.0567722,0.114,,8.82219e-05,8.82219e-05,2.16024e-211,8.82219e-05,8.82219e-05,2.16024e-211,8.82219e-05,8.82219e-05,2.16024e-211,8.82219e-05,8.82219e-05,2.16024e-211
-0.0572722,-0.0572722,0.115,,8.82206e-05,8.82206e-05,2.16023e-211,8.82206e-05,8.82206e-05,2.16023e-211,8.82206e-05,8.82206e-05,2.16023e-211,8.82206e-05,8.82206e-05,2.16023e-211
-0.0577722,-0.0577722,0.116,,8.82194e-05,8.82194e-05,2.16021e-211,8.82194e-05,8.82194e-05,2.16021e-211,8.82194e-05,8.82194e-05,2.16021e-211,8.82194e-05,8.82194e-05,2.16021e-211
-0.0582722,-0.0582722,0.117,,8.82183e-05,8.82183e-05,2.16019e-211,8.82183e-05,8.82183e-05,2.16019e-211,8.82183e-05,8.82183e-05,2.16019e-211,8.82183e-05,8.82183e-05,2.16019e-211
-0.0587722,-0.0587722,0.118,,8.82173e-05,8.82173e-05,2.16018e-211,8.82173e-05,8.82173e-05,2.16018e-211,8.82173e-05,8.82173e-05,2.16018e-211,8.82173e-05,8.82173e-05,2.16018e-211
