time,e11,e22,e33,tw0,tr0,tw1,tr1,tw2,tr2,tw3,tr3,tw4,tr4,tw5,tr5,tw6,tr6,tw7,tr7,tw8,tr8,tw9,tr9,tw10,tr10,tw11,tr11,
250001,-0.0123241,-0.0123241,0.0250001,0.000278936,6.2297e-08,0.000278936,6.2297e-08,1.40359e+203,0,0.000278936,6.2297e-08,0.000278936,6.2297e-08,1.40359e+203,0,0.000278936,6.2297e-08,0.000278936,6.2297e-08,1.40359e+203,0,0.000278936,6.2297e-08,0.000278936,6.2297e-08,1.40359e+203,0
260001,-0.0128203,-0.0128203,0.0260001,0.000284034,6.10478e-08,0.000284034,6.10478e-08,1.40359e+203,0,0.000284034,6.10478e-08,0.000284034,6.10478e-08,1.40359e+203,0,0.000284034,6.10478e-08,0.000284034,6.10478e-08,1.40359e+203,0,0.000284034,6.10478e-08,0.000284034,6.10478e-08,1.40359e+203,0
270001,-0.0133168,-0.0133168,0.0270001,0.000288764,5.99214e-08,0.000288764,5.99214e-08,1.40359e+203,0,0.000288764,5.99214e-08,0.000288764,5.99214e-08,1.40359e+203,0,0.000288764,5.99214e-08,0.000288764,5.99214e-08,1.40359e+203,0,0.000288764,5.99214e-08,0.000288764,5.99214e-08,1.40359e+203,0
280001,-0.0138135,-0.0138135,0.0280001,0.000293148,5.89041e-08,0.000293148,5.89041e-08,1.40359e+203,0,0.000293148,5.89041e-08,0.000293148,5.89041e-08,1.40359e+203,0,0.000293148,5.89041e-08,0.000293148,5.89041e-08,1.40359e+203,0,0.000293148,5.89041e-08,0.000293148,5.89041e-08,1.40359e+203,0
290001,-0.0143104,-0.0143104,0.0290001,0.000297206,5.7984e-08,0.000297206,5.7984e-08,1.40359e+203,0,0.000297206,5.7984e-08,0.000297206,5.7984e-08,1.40359e+203,0,0.000297206,5.7984e-08,0.000297206,5.7984e-08,1.40359e+203,0,0.000297206,5.7984e-08,0.000297206,5.7984e-08,1.40359e+203,0
300001,-0.0148075,-0.0148075,0.0300001,0.000300958,5.7151e-08,0.000300958,5.7151e-08,1.40359e+203,0,0.000300958,5.7151e-08,0.000300958,5.7151e-08,1.40359e+203,0,0.000300958,5.7151e-08,0.000300958,5.7151e-08,1.40359e+203,0,0.000300958,5.7151e-08,0.000300958,5.7151e-08,1.40359e+203,0
310001,-0.0153048,-0.0153048,0.0310001,0.000304425,5.63959e-08,0.000304425,5.63959e-08,1.40359e+203,0,0.000304425,5.63959e-08,0.000304425,5.63959e-08,1.40359e+203,0,0.000304425,5.63959e-08,0.000304425,5.63959e-08,1.40359e+203,0,0.000304425,5.63959e-08,0.000304425,5.63959e-08,1.40359e+203,0
320001,-0.0158023,-0.0158023,0.0320001,0.000307624,5.57108e-08,0.000307624,5.57108e-08,1.40359e+203,0,0.000307624,5.57108e-08,0.000307624,5.57108e-08,1.40359e+203,0,0.000307624,5.57108e-08,0.000307624,5.57108e-08,1.40359e+203,0,0.000307624,5.57108e-08,0.000307624,5.57108e-08,1.40359e+203,0
330001,-0.0162999,-0.0162999,0.0330001,0.000310575,5.50887e-08,0.000310575,5.50887e-08,1.40359e+203,0,0.000310575,5.50887e-08,0.000310575,5.50887e-08,1.40359e+203,0,0.000310575,5.50887e-08,0.000310575,5.50887e-08,1.40359e+203,0,0.000310575,5.50887e-08,0.000310575,5.50887e-08,1.40359e+203,0
340001,-0.0167978,-0.0167978,0.0340001,0.000313294,5.45233e-08,0.000313294,5.45233e-08,1.40359e+203,0,0.000313294,5.45233e-08,0.000313294,5.45233e-08,1.40359e+203,0,0.000313294,5.45233e-08,0.000313294,5.45233e-08,1.40359e+203,0,0.000313294,5.45233e-08,0.000313294,5.45233e-08,1.40359e+203,0
350001,-0.0172958,-0.0172958,0.0350001,0.000315798,5.40092e-08,0.000315798,5.40092e-08,1.40359e+203,0,0.000315798,5.40092e-08,0.000315798,5.40092e-08,1.40359e+203,0,0.000315798,5.40092e-08,0.000315798,5.40092e-08,1.40359e+203,0,0.000315798,5.40092e-08,0.000315798,5.40092e-08,1.40359e+203,0
360000,-0.0177938,-0.0177938,0.036,0.000318102,5.35414e-08,0.000318102,5.35414e-08,1.40359e+203,0,0.000318102,5.35414e-08,0.000318102,5.35414e-08,1.40359e+203,0,0.000318102,5.35414e-08,0.000318102,5.35414e-08,1.40359e+203,0,0.000318102,5.35414e-08,0.000318102,5.35414e-08,1.40359e+203,0
